aggregated_score,base_sku_uuid,base_source_store,bungee_auditor,bungee_auditor_comment,bungee_audit_date,bungee_audit_status,client_auditor_l1,client_auditor_l1_comment,client_auditor_l2,client_auditor_l2_comment,client_audit_date_l1,client_audit_date_l2,client_audit_status_l1,client_audit_status_l2,comp_sku_uuid,comp_source_store,created_by,created_date,misc_info,pair_id,segment,seller_type,updated_by,updated_date,workflow_name,priority,source,score
0.96484375,278491<>chewy<>chewy,chewy<>chewy,f9c0f01a-cfe7-4755-a7fe-c053f33dd5fd,,,EXACT_MATCH,,,,,,,,,3015T::46020<>bigdweb<>bigdweb,bigdweb<>bigdweb,,,,278491<>chewy<>chewy_3015T::46020<>bigdweb<>bigdweb,,,,,,2,ml,0.96484375
0.8848588,2994301<>petco<>petco,petco<>petco,0b1ce002-a09c-486d-aed3-f7bae02e090b,,,EXACT_MATCH,,,,,,,,,67033<>petmeds<>petmeds,petmeds<>petmeds,,,,2994301<>petco<>petco_67033<>petmeds<>petmeds,pets,,,,,2,ml,0.8848588
1,356979<>chewy<>chewy,chewy<>chewy,adc14aa3-7768-4c8c-a09b-987d944ebcac,,,EXACT_MATCH,,,,,,,,,b08wysfslx<>amazon<>amazon,amazon<>amazon,,,,356979<>chewy<>chewy_b08wysfslx<>amazon<>amazon,,,,,,2,transitive,1
0.78125,52172<>chewy<>chewy,chewy<>chewy,9121f653-ae9a-4335-a86c-3ec79a0c6551,,,EXACT_MATCH,,,,,,,,,55-M165-04-115064<>cherrybrook<>cherrybrook,cherrybrook<>cherrybrook,,,,52172<>chewy<>chewy_55-M165-04-115064<>cherrybrook<>cherrybrook,,,,,,2,ml,0.78125
1,759405<>staples<>staples,staples<>staples,0cdbd8af-9f4e-40a0-8fcc-f82250bfb16a,,,NOT_A_MATCH,,,,,,,,,22427376<>walmart<>walmart,walmart<>walmart,,,,759405<>staples<>staples_22427376<>walmart<>walmart,,,,,,2,upc,1
0.8331333,24408522<>staples<>staples,staples<>staples,265664e8-a8ce-4693-b078-b43721e4b7b8,,,NOT_A_MATCH,,,,,,,,,856132<>officedepot<>officedepot,officedepot<>officedepot,,,,24408522<>staples<>staples_856132<>officedepot<>officedepot,office_supplies,,,,,2,ml,0.8331333
0.98828125,631948<>staples<>staples,staples<>staples,adc14aa3-7768-4c8c-a09b-987d944ebcac,,,NOT_A_MATCH,,,,,,,,,182649016<>walmart<>walmart,walmart<>walmart,,,,631948<>staples<>staples_182649016<>walmart<>walmart,,,,,,2,upc,0.98828125
0.9408022,331129<>chewy<>chewy,chewy<>chewy,2ea5e66d-e4dc-47e4-9e39-477b067affaa,,,NOT_A_MATCH,,,,,,,,,b0055fe3mg<>amazon<>amazon,amazon<>amazon,,,,331129<>chewy<>chewy_b0055fe3mg<>amazon<>amazon,pets,,,,,2,ml,0.9408022
0.8099494,638566<>chewy<>chewy,chewy<>chewy,111566da-d3d1-4652-8388-d7a1ff15178f,,,NOT_A_MATCH,,,,,,,,,b099nlc5l3<>amazon<>amazon,amazon<>amazon,,,,638566<>chewy<>chewy_b099nlc5l3<>amazon<>amazon,pets,,,,,2,ml,0.8099494
1,917768<>staples<>staples,staples<>staples,8caf2977-a9f8-4542-871d-9f2c2f980939,,,NOT_A_MATCH,,,,,,,,,5637220090<>wbmason<>wbmason,wbmason<>wbmason,,,,917768<>staples<>staples_5637220090<>wbmason<>wbmason,office_supplies,,,,,2,upc,1
1,70709<>feederssup<>feederssup,feederssup<>feederssup,087bc92d-ef73-436f-a6ba-5f5c875312f2,,,NOT_A_MATCH,,,,,,,,,49199<>chewy<>chewy,chewy<>chewy,,,,70709<>feederssup<>feederssup_49199<>chewy<>chewy,,,,,,2,upc,1
0.8311508,24343769<>staples<>staples,staples<>staples,2ea5e66d-e4dc-47e4-9e39-477b067affaa,,,NOT_A_MATCH,,,,,,,,,9sia25v9124796<>newegg<>newegg,newegg<>newegg,,,,24343769<>staples<>staples_9sia25v9124796<>newegg<>newegg,,,,,,2,ml,0.8311508
0.9425893,273160<>staples<>staples,staples<>staples,062921f6-d627-444f-ba1a-aa7c35a19804,,,NOT_A_MATCH,,,,,,,,,g404174663<>zoro<>zoro,zoro<>zoro,,,,273160<>staples<>staples_g404174663<>zoro<>zoro,,,,,,2,ml,0.9425893
0.8046875,628966<>chewy<>chewy,chewy<>chewy,0cdbd8af-9f4e-40a0-8fcc-f82250bfb16a,,,NOT_A_MATCH,,,,,,,,,636328187:1818171190:1446384911<>etsy<>etsy,etsy<>etsy,,,,628966<>chewy<>chewy_636328187:1818171190:1446384911<>etsy<>etsy,,,,,,2,ml,0.8046875
1,261930<>chewy<>chewy,chewy<>chewy,,,2021-01-12,NOT_A_MATCH,,,,,,,,,315158272<>walmart<>walmart,walmart<>walmart,,,,261930<>chewy<>chewy_315158272<>walmart<>walmart,pets,,,,,1,legacy,1
1,148673<>chewy<>chewy,chewy<>chewy,,,2021-01-12,EXACT_MATCH,,,,,,,,,86174508<>target<>target,target<>target,,,,148673<>chewy<>chewy_86174508<>target<>target,pets,,,,,1,upc,1
1,70151<>chewy<>chewy,chewy<>chewy,,,2021-01-22,EXACT_MATCH,,,,,,,,,atm1085_6347896<>wayfair<>wayfair,wayfair<>wayfair,,,,70151<>chewy<>chewy_atm1085_6347896<>wayfair<>wayfair,pets,,,,,1,legacy,1
